slide_id,seg_level,sthresh,mthresh,close,use_otsu,a_t,a_h,max_n_holes,vis_level,line_thickness,use_padding,contour_fn,keep_ids,exclude_ids,status,process
0042034876.mrxs,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
0042711961.mrxs,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
0042951302.mrxs,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
0046877280.mrxs,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
0047176089.mrxs,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
0048086809.mrxs,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
0049547258.mrxs,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
0049556653.mrxs,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
0050394746.mrxs,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
0054815807.mrxs,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
0057134497.mrxs,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
DigitalSlide_B9M_11S_1.mrxs,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
DigitalSlide_B9M_14S_1.mrxs,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
DigitalSlide_B9M_16S_1.mrxs,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
DigitalSlide_B9M_6S_1.mrxs,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
DigitalSlide_B9M_7S_1.mrxs,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
DigitalSlide_B9M_8S_1.mrxs,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
